0    -7.2911877
0.5  -7.2911868
1    -7.2911884
1.5  -7.2911928
2    -7.291191
2.5  -7.2911917
3    -7.2911868
3.5  -7.2911914
4    -7.291192
4.5  -7.2911883
5    -7.2911936
5.5  -7.2911877
6    -7.2911858
6.5  -7.2911924
7    -7.2911887
7.5  -7.2911878
8    -7.2911881
8.5  -7.2911841
9    -7.2911926
9.5  -7.2911915
10   -7.2911841
10.5 -7.2911942
11   -7.2911919
11.5 -7.2911853
12   -7.2911881
12.5 -7.2911835
13   -7.291184
13.5 -7.2911865
14   -7.2911878
14.5 -7.2911879
15   -7.291189
15.5 -7.2911882
16   -7.2911814
16.5 -7.2911857
17   -7.2911869
17.5 -7.2911839
18   -7.2911865
18.5 -7.2911905
19   -7.2911801
19.5 -7.2911813
20   -7.2911943
20.5 -7.2911843
21   -7.2911906
21.5 -7.2911906
22   -7.291186
22.5 -7.2911825
23   -7.291187
23.5 -7.2911895
24   -7.2911879
24.5 -7.2911898
25   -7.291196
25.5 -7.2911865
26   -7.2911853
26.5 -7.2911866
27   -7.2911921
27.5 -7.291192
28   -7.2911934
28.5 -7.2911918
29   -7.2911858
29.5 -7.2911896
30   -7.2911882
30.5 -7.291191
31   -7.2911912
31.5 -7.2911894
32   -7.2911926
32.5 -7.2911909
33   -7.2911892
33.5 -7.291184
34   -7.291188
34.5 -7.2911957
35   -7.2911919
35.5 -7.291199
36   -7.2911867
36.5 -7.2911862
37   -7.2911887
37.5 -7.2911909
38   -7.2911886
38.5 -7.2911833
39   -7.2911877
39.5 -7.2911873
40   -7.2911917
40.5 -7.2911939
41   -7.2911929
41.5 -7.2911888
42   -7.2911857
42.5 -7.2911862
43   -7.2911863
43.5 -7.2911837
44   -7.291186
44.5 -7.2911935
45   -7.2911876
45.5 -7.2911957
46   -7.2911867
46.5 -7.2911883
47   -7.291189
47.5 -7.2911964
48   -7.2911923
48.5 -7.2911916
49   -7.2911923
49.5 -7.2911914
50   -7.2911872
50.5 -7.2911873
51   -7.2911925
51.5 -7.2911954
52   -7.2911851
52.5 -7.2911864
53   -7.2911868
53.5 -7.2911891
54   -7.2911894
54.5 -7.2911887
55   -7.2911875
55.5 -7.2911865
56   -7.2911905
56.5 -7.2911874
57   -7.2911911
57.5 -7.2911926
58   -7.2911946
58.5 -7.291187
59   -7.2911829
59.5 -7.2911911
60   -7.2911879
