0 -7.2869406
1.5 -7.286937
3 -7.2868512
4.5 -7.2868212
6 -7.2868474
7.5 -7.2867537
9 -7.2867322
10.5 -7.2867606
12 -7.2867346
13.5 -7.2866688
15 -7.2865727
16.5 -7.2866883
18 -7.2866609
19.5 -7.286698
21 -7.2866183
22.5 -7.2866497
24 -7.2865786
25.5 -7.2865681
27 -7.2865509
28.5 -7.2864654
30 -7.2864931
31.5 -7.2864722
33 -7.2864418
34.5 -7.2864196
36 -7.286424
37.5 -7.2863607
39 -7.2862679
40.5 -7.2863047
42 -7.2863214
43.5 -7.2862743
45 -7.2861985
46.5 -7.2861885
48 -7.2862372
49.5 -7.2862433
51 -7.2861368
52.5 -7.2861396
54 -7.2861996
55.5 -7.286143
57 -7.2860947
58.5 -7.2860336
60 -7.2860557
