0.03 0
0.09 0
0.15 0
0.21 0
0.27 0
0.33 0
0.39 0
0.45 0
0.51 0
0.57 0
0.63 0
0.69 0
0.75 0
0.81 0
0.87 0
0.93 0
0.99 1.09063e-05
1.05 0.000271482
1.11 0.00485088
1.17 0.0462065
1.23 0.217025
1.29 0.585379
1.35 1.06094
1.41 1.45702
1.47 1.63613
1.53 1.57313
1.59 1.35005
1.65 1.06499
1.71 0.785636
1.77 0.500179
1.83 0.337157
1.89 0.453451
1.95 0.82158
2.01 1.03516
2.07 1.05991
2.13 1.08896
2.19 1.12894
2.25 1.17421
2.31 1.21583
2.37 1.24751
2.43 1.26172
2.49 1.2582
2.55 1.23734
2.61 1.20197
2.67 1.1588
2.73 1.11028
2.79 1.05943
2.85 1.01268
2.91 0.968625
2.97 0.932468
3.03 0.903241
3.09 0.883078
3.15 0.872865
3.21 0.873169
3.27 0.882004
3.33 0.899114
3.39 0.920288
3.45 0.940018
3.51 0.959512
3.57 0.976881
3.63 0.988948
3.69 0.997464
3.75 1.00374
3.81 1.00919
3.87 1.01295
3.93 1.01511
3.99 1.01602
4.05 1.01625
4.11 1.01592
4.17 1.01594
4.23 1.01607
4.29 1.01762
4.35 1.01879
4.41 1.01983
4.47 1.02177
4.53 1.0222
4.59 1.02172
4.65 1.02072
4.71 1.01855
4.77 1.01548
4.83 1.01196
4.89 1.00812
4.95 1.00448
5.01 0.999886
5.07 0.995668
5.13 0.991518
5.19 0.987904
5.25 0.98524
5.31 0.983453
5.37 0.982862
5.43 0.982801
5.49 0.983957
5.55 0.985617
5.61 0.987671
5.67 0.989562
5.73 0.992677
5.79 0.995566
5.85 0.998222
5.91 1.00029
5.97 1.00235
